PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN
¿Cuál de estas instrucciones NO vacía el contenido del fichero con nombre 2013 en Linux?,true> 2013,> 2013,cat /dev/null > 2013,| > 2013,D,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Si queremos restringir el almacenamiento en disco en Linux a determinados usuarios o grupos, ¿cuál de los siguientes métodos podemos usar?",Mediante cuotas de disco.,Mediante el editor de directivas de grupo.,No se puede restringir el almacenamiento a usuarios.,No se puede restringir el almacenamiento por grupos.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
En el ámbito de las bases de datos Oracle una vista materializada:,Es un objeto de la base de datos donde se almacena la información de todas las vistas de la BD.,Es un objeto de la base de datos donde se almacena la definición de la tabla que materializa.,Es un objeto de la base de datos donde se almacena el resultado de una consulta.,Es una vista ordinaria que automáticamente se actualizara siempre que se actualicen las tablas involucradas en esa vista.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,60,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Qué es Transact-SQL?,Un sistema gestor de base de datos de tipo NoSQL.,Una extensión propietaria al estándar SQL.,Una query que equivale a realizar consultas SELECT por lotes.,Una biblioteca de clases para mapear objetos sobre una base de datos relacional.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,61,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Qué tipo de mantenimiento debe realizarse como consecuencia de los cambios en el entorno de operación?,Operativo,Correctivo,Perfectivo,Adaptativo,D,B3,A.deGrado,PREPARATIC24,2016,,,,,96,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En la herramienta de control de versiones Subversion, ¿con que comando se suben los cambios al repositorio?",svn commit,svn checkin,svn checkout,svn upload,A,B3,A.deGrado,PREPARATIC24,2016,,,,,95,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En el contexto de copias de seguridad o respaldo, un TMS es acrónimo de:",Tape Management System.,Transaction Multiplexing System.,Tape Mapping System.,Transaction Management System.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
La tasa de transferencia maxima que soporta el Serial Advanced Technology Attachment (SATA) Revision 3.0 es de hasta:,300 MB/s.,900 MB/s.,600 MB/s.,150 MB/s.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,51,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál es el máximo porcentaje de disco desaprovechado para el almacenamiento efectivo de datos en un array de discos configurado en RAID 5 (suponiendo que todos los discos tienen la misma capacidad)?,33%,20%,50%,0%,A,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En el ámbito de las redes SAN, ¿a qué se refiere el término LUN?",A un switch con conexión de fibra.,A la interfaz de red de los servidores para conectarse a la SAN.,A una unidad de discos agrupados en una cabina de almacenamiento.,AI gateway para conectar una NAS a una red SAN.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Comparando NAS (Network-attacheda Storage) con SAN (Storage Area Network):,NAS opera a nivel de fichero y SAN a nivel de bloque.,NAS opera a nivel de bloque y SAN a nivel de fichero.,Ambos operan a nivel de bloque.,Ambos operan a nivel de fichero.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Un conector tipo ""MT-Array"" es un conector para:",Fibra óptica.,Mainframes.,Buses PCr.,Conectores de fibra óptica.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,49,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Los conectores LC son:,Conectores para Pcr.,Conectores de par trenzado.,Conectores exclusivos para Mainframe.,Par trenzado.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,51,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuántos bytes utiliza la trama de Ethernet (IEEE 802.3-2012) para el código de redundancia cíclica?,4 bytes.,6 bytes.,12 bytes.,Ethernet no utiliza ningún código de redundancia cíclica.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,112,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál es la dirección MAC de difusión de red o broadcast que se utiliza en Ethernet (IEEE 802.3)?,######,FF::FF,FF:FF:FF:FF:FF:FF:FF,FF:FF:FF:FF:FF:FF,D,B4,A.deGrado,PREPARATIC24,2016,,,,,112,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En redes de área local, ¿Cuál de los siguientes es un de acceso al medio compartido con escucha por contienda?",Paso de testigo en anillo.,CSMA no persistente.,ALOHA ranurado.,Contención.,B,B4,A.deGrado,PREPARATIC24,2016,,,,,112,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes puertos utiliza el protocolo SNMP?,110,119,161,25,C,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Se pueden controlar el número de impresiones que un usuario ha realizado en una impresora en red mediante el protocolo de gestión SNMP?,"Si, siempre y cuando en la MIB de la impresora se contemple este para metro.","No, necesitaria una base de datos externa para almacenarlo.","Si, solo mediante instalación de firmware nuevo en la impresora.","Si, pero con protocolos propietarios de la impresora.",A,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Señale cual de las siguientes NO es una Protocol Data Unit (PDU) del protocolo SNMP v2/v3:,GETREQUEST PDU,SETRESPONSEPDU,RESPONSEPDU,INFORM REQUEST PDU,B,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Indique la respuesta correcta en relación al comando SNMP GetBulkRequest:,Está disponible en todas las versiones de SNMP.,Es utilizado por un sistema gestor de red para enviar un mensaje a otro gestor sobre objetos administrados.,Es el que permite utilizar autenticación en SNMP v3.,Es utilizado cuando se requiere una cantidad elevada de datos transmitidos.,D,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Indicar cuál de las siguientes direcciones IP puede ser asignada a un host en la siguiente subred 135.26.41.80/28,135.26.41.94,135.26.41.95,135.26.41.96,135.26.41.97,A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Si tenemos la siguiente dirección de broadcast 95.26.35.159, indicar a que subred pertenece.",95.26.35.144/30,95.26.35.144/29,95.26.35.128/27,95.26.35.128/25,C,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"De las siguientes cabeceras IPv6 (RFC 2460), ¿cuál de las siguientes cabeceras NO es de extensión?",Fragmentación.,Opciones de salto a salto.,Autenticación.,Limite de saltos.,D,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
EI puerto 69 es utilizado por:,TFTP (Trivial File Transfer Protocol).,Finger.,IMAP (Internet Message Access Protocol).,SFTP (Secure File Transfer Protocol).,A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"¿Cuál es la dirección multicast utilizada por el protocolo RIP v2 (Routing Information Protocol), según RFC 2453, para enviar las actualizaciones de sus tablas?",224.0.0.4,224.0.0.5,224.0.0.9,224.0.0.22,C,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"¿Qué protocolo utiliza la orden ""traceroute"" para obtener la ruta que se sigue desde nuestro equipo hasta otro en Internet?",Ping,ICMP,PPP,RSVP,B,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Con respecto al protocolo DNS. ¿Cuál de las siguientes opciones NO es una parte de un mensaje DNS?,Cabecera.,Checksum.,Registros de recursos de Respuesta.,Registros de recursos de Autoridad.,B,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Un equipo con la dirección IP 128.0.235.56/27 ¿Qué mascara de red, dirección de red y dirección de broadcast tiene?","Mascara 255.255.255.224, red 128.0.235.32, broadcast 128.0.235.63","Mascara 255.255.255.0, red 128.0.235.0, broadcast 128.0.235.255","Mascara 255.255.255.192, red 128.0.235.0, broadcast 128.0.235.63","Mascara 255.255.255.128, red 128.0.235.0, broadcast 128.0.235.127",A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿De qué tipo es la dirección de IPv6 ff00::/8?,No es válida,Multicast.,Unicast.,Loopback.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Indique que dirección IPv6 de las siguientes NO es correcta:,::1,2022::0ab7::1528:67bb,::..,::212.200.31.255,B,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"En una empresa con 2.000 puestos de usuario final en su red local de comunicaciones existen 3 subredes con estos direccionamientos: red A: 10.X.X.X red B: 192.168.1.X y red C: 195.57.72.X. Teniendo en cuenta que en la ubicación de los equipos de usuarios y servidores se busca mantener la red operativa y a la vez con la maxima seguridad posible, ¿En qué subred ubicaría los servidores web públicos?",Red A.,Red B.,Red C.,Indistintamente en la red B o en la red C.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
EI estándar ANSI/TIA-942 establece distintos niveles en relación a ciertos requisitos de seguridad en los Centros de Proceso de Datos (CPD). ¿Cuál es el nivel más exigente?,Tier 5,Tier 4,Tier 3,Tier 0,B,B4,A.deGrado,PREPARATIC24,2016,,,,,104,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"De entre los siguientes, ¿Qué protocolo es utilizado para reservar recursos de red a una determinada aplicación?",RSVP,ARP,802.1ar,H.264,A,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿En qué protocolo de encaminamiento se utiliza el Algoritmo de Dijkstra para el cálculo de rutas?,OSPF,RIP,BGP,EGP,A,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes elementos NO pertenece al protocolo MPLS (RFC 3031)?,LSP (Label Switched Path).,LSR (Label Switching Router).,FEC (Forwarding Equivalence Class).,ILP (Incoming Label Protocol).,D,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
La recomendación X.25 de la ITU (International Telecommunication Union) se refiere a:,Interfaz entre el equipo terminal de datos y el equipo de terminación del circuito de datos para equipos terminales que funcionan en el modo paquete y están conectados a redes públicas de datos por circuitos especializados.,Interfaz equipo terminal de datos/equipo de terminación del circuito de datos para los equipos terminales de datos arrítmicos con acceso a la facilidad de ensamblado/desensamblado de paquetes en una red pública de datos situada en el mismo país.,"Utilización, en las redes públicas de datos, de equipos terminales de datos diseñados para su conexión con módems síncronos de la serie V.",Interfaz entre el equipo terminal de datos y el equipo de terminación del circuito de datos para funcionamiento síncrono en redes públicas de datos.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,114,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"MPLS (Multi protocol Label Switching) utiliza algunos conceptos, entre ellos:",FEC (Forwarding Equivalent Class).,LAPD (Link Access Protocol for D-channel).,CIR (Commited Information Rate).,MBS (Maximum Burst Size).,A,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Un archivo .PFX, de uso en certificados electrónicos:",Contiene la clave privada.,Cumple la sintaxis PKCS #21.,Esta codificado en un Formato no binario.,No se puede convertir a Formato .PEM.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Indique la respuesta FALSA, respecto al protocolo IPSEC:","EI protocolo IPSEC AH garantiza integridad y autenticación, pero no confidencialidad.",EI protocolo IPSEC ESP utiliza el número de protocolo 50 en la cabecera IP.,IPSEC utiliza IKE como protocolo de intercambio de claves.,"IPSEC ESP es incompatible con el modo transporte, solo se puede utilizar en modo túnel.",D,B4,A.deGrado,PREPARATIC24,2016,,,,,119,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"De los 32 bits que tiene una cabecera MPLS, ¿cuántos están reservados para el valor de la etiqueta MPLS según la RFC 3032?",32,24,20,16,C,B4,A.deGrado,PREPARATIC24,2016,,,,,107,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
EI algoritmo SHA-l (RFC 3174) produce un resumen de salida de:,128 bits,160 bits,224 bits,256 bits,B,B2,A.deGrado,PREPARATIC24,2016,,,,,76,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Según la recomendación XMLDsig de W3C, la firma digital de tipo enveloped signature cumple que:",La firma y el documento firmado son dos ficheros diferentes.,EI documento firmado va dentro de la firma.,La firma va al final del documento firmado como un elemento adiciona!.,La firma se inserta en el primer elemento XML del documento.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cuál de los siguientes organismos se encarga de generar y mantener las RFC en internet?,IETF (Internet Engineering Task Force).,IAB (Internet Architecture Board).,IANA (Internet Assigned Numbers Authority).,ISOC (Internet Society).,A,B4,A.deGrado,PREPARATIC24,2016,,,,,103,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
EI protocolo FTP sobre TLS/SSL (FTPS-data) usa el puerto:,989,567,742,334,A,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
Los Puntos Neutros (Internet Exchange Points) en Internet:,Permiten conectarse a Internet sin coste.,Eliminan los paquetes con un TLL mayor del fijado en el segmento de red (típicamente 30).,Son pasarelas para compatibilizar el tráfico IPv4 y el IPv6.,"Permiten interconectar las redes de diferentes ISP, reduciendo y encaminando de forma eficiente el tráfico que circula entre ellas.",D,B4,A.deGrado,PREPARATIC24,2016,,,,,103,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
¿Cómo se llama la clasificación no jerárquica de la información mediante etiquetas/tags por parte de los usuarios de la misma?,Web 3.0.,Taxonomía.,Labelling.,Folcsonomía.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"Analizando los problemas con la calidad de servicio en VoIP, ¿qué se entiende por jitter?",Una reflexión retardada de la señal acústica original.,EI tiempo que tarda un paquete en llegar desde la fuente al destino.,"Variación en el tiempo de llegada de los paquetes, causada por congestión de red, perdida de sincronización o por las diferentes rutas seguidas.",Cantidad de información o de datos que se puede enviar a través de una conexión de red en un periodo de tiempo dado.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,110,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
La medida Mean Opinion Score (MOS) se utiliza en:,La ponderación de alternativas en el método Delphi.,La calidad de la voz sobre el protocolo VoIP.,La evaluación de riesgos del método Magerit v2.,La explotación de almacenes de datos en CRM (Customer Relationship Management).,B,B4,A.deGrado,PREPARATIC24,2016,,,,,110,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
"La arquitectura de la red UMTS está formada por varios elementos, cada uno con unas funciones especificas. Elija la afirmación correcta entre las siguientes relativas a la arquitectura UMTS:","EI RNS (Radio Network Subsystem) está formado por los RNC (Radio Network Controller), el MSC (Mobile Switching Center) y los Nodos B.",EI Nodo B es el responsable de la transmision radio desde los RNC (Radio Network Controller) hacia los MSs (Mobile Station) en una o más celdas UMTS.,"EI VLR (Visitor Location Register) mantiene una base de datos con los datos de los abonados móviles, para poder realizar la autenticación del abonado y cifrar las comunicaciones.",EI UELC (User Equipment Location Controller) es el encargado de llevar a cabo las funciones de itinerancia (roaming) de las MSs (Mobile Station) en un área MSC (Mobile Switching Center).,B,B4,A.deGrado,PREPARATIC24,2016,,,,,117,,,,INSERT,,Examen TIC A2 Promoción Interna 2013
